0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-1.5400002,-0.871,-0.2,-0.4,-0.2,-0.41,-0.6,-0.90549964,-0.81000006,-0.57899994,-0.5810001,-1.4960002,-0.2,-0.20700002,1.267002,1.0639986,-0.5040003,-1.0020001,-0.2,-0.2,0.14200005,-0.6,0.3025002,-0.2,-0.4,-0.6,-0.7,-0.21000001,0.0,-0.2,-3.299997,-0.2,-0.2,-0.94600004,-1.7660003,-1.0820007,-0.67799985,-0.6,-0.2,-0.4,1.4099984,-0.2,-2.2900002,-0.4,-3.322002,-0.51,2.9290032,-0.493,-0.9600001,-0.53699994
-2.1859977,-1.4700006,-0.41,-0.4,-1.261,-1.0464959,-2.313,-1.455,-1.8585002,1.7265252,-1.9755005,-2.1040003,-0.4,1.7102568,-1.0034994,-0.11000459,0.09574782,-0.57499737,-0.5,-0.39200002,-1.1054994,-0.46000004,-1.9800001,-0.4,-0.6,-0.54,1.1755365,1.5615146,0.359,-0.2,-1.4154694,-0.10199999,-0.5,0.5840129,-0.2854983,-0.34249985,-1.3269987,-0.6,0.34,-0.4,0.4980022,-0.2,-2.1700003,-0.44,2.4650445,0.17924929,0.05199772,-1.2634987,-1.5400001,-0.9409999
-0.89649713,-2.8528001,-0.24,-0.52,-0.89599997,0.1697985,-0.851498,-2.6526003,0.5608474,0.35513115,-0.14429991,0.39751425,-0.39,-1.0134983,0.16982731,0.5415163,0.055927187,0.061549142,0.16000001,-0.9,0.32370132,-1.21,0.02546042,-0.27,-0.32,-2.0300002,0.3762214,-0.060901307,0.0,-0.14250001,0.55135924,-0.27749985,-0.51,0.9312095,0.08430583,-0.84990895,-0.24929965,-0.67,-0.29,-0.55,0.38988766,-0.9,-2.2670004,-0.85,1.6528956,1.1714344,-1.7509986,-1.1195008,-2.4460018,-1.5433508
-0.01,-1.1,-0.4,-0.4,-0.4,-0.41,-0.51,-1.2060001,-0.463,-0.26000002,-0.53999996,-0.52299994,-0.4,-0.2,-0.6919999,1.4600003,-0.42,-0.52,0.0,0.0,-0.5,-0.4,0.48499995,0.0,-0.2,-0.8,-0.82,0.0,0.0,-0.2,-4.499999,0.0,-0.6,-0.32,-1.0800003,-0.92999953,-0.01,-0.6,0.0,-0.4,2.0700002,-0.2,-2.6000004,-0.2,-3.3500001,-0.61,1.5119998,-0.61,-0.50299996,-0.5159999
-1.6625001,-1.0374008,-0.21000001,-0.4,0.20399971,-0.8818692,-2.3449206,-1.2799999,-1.4060011,1.3962796,-1.3584014,-2.7494996,-0.2,1.6326809,-0.8995002,-0.014721643,0.11709922,-0.52949667,-0.45999998,-0.192,-1.0272791,-0.46000004,-1.6890002,-0.4,-0.4,-0.78000003,1.0593746,1.2766823,0.048,-0.2,-1.3019563,-0.55799985,-0.02000001,0.5980973,0.1579955,-0.62499624,-1.733,-0.8,0.13,-0.19600001,0.37750795,-0.26,-2.3200002,-0.42000002,2.6313949,0.14249784,0.0559988,-0.9095165,-1.8300002,-0.6049998
-0.76599884,0.5860019,-0.2,0.0,-0.18599992,-0.11700213,-0.60000014,-1.2520001,-0.26000044,-0.1555021,-0.5610004,-1.75,-0.4,0.0980001,-0.21450011,1.3539927,-0.34579724,-0.30900016,0.080000006,-0.22000001,-1.2899995,-0.6,-1.3299998,-0.4,-0.42000002,-0.82,0.9823998,-1.1170021,-0.2,-0.2,-2.3614762,-0.43999997,-0.54,0.20920102,-0.3186982,-1.8039976,-2.1339993,-0.22000001,-0.22000001,-0.22000001,0.15599917,-0.4,-3.0200005,-0.62,2.5189981,-1.2342004,1.141504,1.3902994,-1.1300001,-0.60399985
-1.5910001,0.5963014,-0.2,-0.193,-1.8100002,-0.76459605,0.23849931,-1.5500001,-2.6099997,-1.3499981,0.7835161,-1.7,-0.02000001,-0.29199964,-1.6090015,0.44099435,2.5139656,0.25900108,-0.26,-0.2,-0.018500326,-0.8,-1.5699999,-0.4,-0.6,-0.82,1.958407,0.52080333,0.0,0.0,-1.5244955,-0.106,-0.6,-0.3540001,-2.8479974,-2.0939999,-0.21350011,-0.4,-0.2,-0.4,0.5130015,-0.6,-2.0000002,-0.4,1.8940121,-1.3746,-1.1800002,-0.8739988,-0.9200001,-1.0199999
2.0163875,-0.063000455,0.036000006,-0.2,-1.2940001,-0.11660032,-2.8589997,-1.6679996,-2.7089999,-0.14860252,-1.6419997,-1.2540003,-0.644,-0.1850005,-1.2041987,0.28593996,-1.1764975,-2.535998,-0.324,-0.06400001,-0.42280006,-0.444,-0.864,-0.6,-0.54399997,-1.1839999,1.2627747,-0.62899786,-0.4,-0.24,-0.7650518,-0.49009982,-0.244,0.022111686,0.85161424,-1.3428041,-0.20020007,-0.144,-0.444,0.056,1.1185259,-0.444,-2.3200002,-0.54399997,2.5439105,-1.4346993,-0.08190033,0.027500765,-1.8840002,-0.6669998
-0.07843999,-0.7706931,-0.42999998,-0.18999961,-1.092,-0.088383496,-0.46038777,-0.53527427,-0.113221325,-0.4183144,-0.084026605,0.90204626,-0.82599986,-0.56404465,0.6072442,0.86718535,-0.33016518,0.23234871,-0.8999999,-0.8129999,-0.020784874,-2.7490005,-0.23519762,-0.6480001,-1.8900002,0.266001,0.5015408,-0.2637999,-1.22,-0.55299985,3.5702598,-0.16599986,-0.32499996,0.18449897,0.4968857,-0.6059133,-0.36114007,-0.12599975,1.0385002,-0.7299999,0.8275538,-0.6099997,-2.3204012,-0.7399998,0.32730973,0.25111178,-0.48517358,-0.72360474,-1.9173325,-0.77689487
-0.6104983,0.655258,-0.2,-0.2,-0.4,-0.025501188,-1.344,-1.0710008,-0.5353447,0.3412521,-1.1292503,-1.2414526,-0.27999997,-0.2524999,-0.7009673,1.2885426,-0.07026079,-0.80419487,0.14,-0.4,-0.060001053,-0.65999997,1.0202124,-0.47999996,-0.53,-1.22,-0.25598928,-2.23,-0.4,-0.4,1.1596984,-0.07199995,-0.2,0.19470984,-1.2564996,-1.2475028,-0.7149994,-0.26,-0.23,0.31,1.1538826,-0.62,-1.8239999,-0.45999998,-0.12022569,-2.7602007,2.1392949,-0.91199994,-1.2827508,-0.63939065
-0.7720641,-0.03554063,0.03500001,-0.31,0.11300008,0.0026256447,-1.5810004,-1.6419998,-0.61199963,-0.051901028,-0.7909996,-1.5439998,-0.4,-0.056939892,-0.40799984,-0.09730095,-0.31800112,-1.356999,-0.2,-0.4,0.36450148,-0.64,-1.148,-0.24,-0.138,-1.008,0.9008063,0.25218195,-0.21000001,-0.15,-2.5298908,-0.13549998,-0.2,0.6581847,2.0610878,-0.3405182,-2.3230002,-0.44,-0.2,-0.24,0.7205033,-0.6,-2.1680002,-0.6,2.793814,-2.2434964,-0.4859994,0.35379833,-1.12,-0.33199996
1.4181894,0.50282747,-0.010000013,0.23999998,0.1720001,0.71469337,-0.25880635,-1.4962966,-0.64151996,0.14247073,0.106948435,0.21157283,-0.426,0.08089936,-0.33808792,1.1251059,-0.2563852,0.2110143,0.515,0.19700001,-0.1755318,-0.91999984,0.56429553,-0.73999995,-0.9799999,-1.1049999,0.6923643,0.15649892,-0.46040002,-0.52000004,0.6429157,0.50720257,-0.48999998,0.140122,0.23386568,-0.9063495,-0.5724955,-0.24999996,-0.27999997,0.037999947,0.82772934,-0.2399999,-2.1150005,-0.24999997,2.1772168,0.303185,0.124462254,-0.5862942,-1.2272032,-0.21224247
